Time,CO2,th02Temp,humidity,bmp280Temp,pressure,altitude,lux,accel_x,accel_y,accel_z,mag_x,mag_y,mag_z,gps_lat,gps_lon,gps_alt
2018-10-24T18:28:2,1193.00,22.23,47.17,23.49,101960.42,-52.77,853.73,-0.08,0.10,0.95,-2.40,-3.59,-3.25,0.000000,0.000000,1000000.00
2018-10-24T18:28:4,1193.00,22.22,47.17,23.51,101955.55,-52.03,853.17,-0.07,0.10,0.95,-2.44,-3.54,-3.22,0.000000,0.000000,1000000.00
2018-10-24T18:28:5,1164.00,22.23,47.17,23.52,101959.38,-52.68,853.73,-0.07,0.10,0.95,-2.42,-3.56,-3.21,0.000000,0.000000,1000000.00
2018-10-24T18:28:7,1151.00,22.23,47.17,23.52,101954.45,-52.27,853.73,-0.09,0.09,0.96,-2.41,-3.54,-3.21,0.000000,0.000000,1000000.00
2018-10-24T18:28:8,1138.00,22.23,47.14,23.55,101962.10,-52.91,853.73,-0.08,0.10,0.95,-2.47,-3.55,-3.19,0.000000,0.000000,1000000.00
2018-10-24T18:28:10,1136.00,22.23,47.07,23.54,101959.43,-52.69,853.73,-0.07,0.09,0.95,-2.40,-3.57,-3.23,0.000000,0.000000,1000000.00
2018-10-24T18:28:11,1136.00,22.22,46.96,23.53,101956.08,-52.41,853.73,-0.08,0.10,0.96,-2.43,-3.54,-3.24,0.000000,0.000000,1000000.00
Time,CO2,th02Temp,humidity,bmp280Temp,pressure,altitude,lux,accel_x,accel_y,accel_z,mag_x,mag_y,mag_z,gps_lat,gps_lon,gps_alt
2018-10-24T18:28:17,1129.00,22.22,46.72,23.56,101957.25,-52.51,854.29,-0.08,0.10,0.95,-2.43,-3.57,-3.22,0.000000,0.000000,1000000.00
2018-10-24T18:28:18,1125.00,22.23,46.77,23.55,101954.41,-52.27,853.99,-0.08,0.10,0.96,-2.43,-3.53,-3.21,0.000000,0.000000,1000000.00
2018-10-24T18:28:20,1125.00,22.23,46.82,23.57,101953.13,-52.17,854.55,-0.07,0.11,0.96,-2.44,-3.52,-3.22,0.000000,0.000000,1000000.00
2018-10-24T18:28:21,1117.00,22.23,46.87,23.56,101957.77,-52.55,855.11,-0.08,0.09,0.95,-2.41,-3.54,-3.20,0.000000,0.000000,1000000.00
2018-10-24T18:28:23,1110.00,22.23,46.79,23.57,101958.57,-52.62,855.11,-0.07,0.10,0.96,-2.40,-3.57,-3.20,0.000000,0.000000,1000000.00
2018-10-24T18:28:25,1101.00,22.25,46.73,23.57,101958.21,-52.65,854.81,-0.07,0.11,0.95,-2.38,-3.56,-3.22,0.000000,0.000000,1000000.00
2018-10-24T18:28:26,1091.00,22.23,46.70,23.57,101955.49,-52.38,854.81,-0.08,0.10,0.95,-2.41,-3.56,-3.22,0.000000,0.000000,1000000.00
2018-10-24T18:28:28,1091.00,22.26,46.70,23.58,101960.74,-52.80,855.37,-0.08,0.10,0.96,-2.42,-3.57,-3.19,0.000000,0.000000,1000000.00
2018-10-24T18:28:29,1083.00,22.26,46.72,23.58,101963.74,-53.04,855.37,-0.07,0.11,0.95,-2.41,-3.57,-3.21,37.865791,-122.298812,1000000.00
2018-10-24T18:28:31,1074.00,22.26,46.74,23.59,101957.72,-52.54,832.40,-0.08,0.09,0.95,-2.40,-3.57,-3.21,37.865779,-122.298782,1000000.00
2018-10-24T18:28:33,1087.00,22.28,46.77,23.58,101960.78,-51.98,856.49,-0.07,0.11,0.95,-2.41,-3.53,-3.20,37.865776,-122.298789,1000000.00
